AGUXS;city-express-aguascalientes-sur
TRIBC;courtyard-sugar-mountain-banner-elk
YYZTS;towneplace-suites-mississauga-airport-corporate-centre
SVQDS;hospes-las-casas-del-rey-de-baeza-seville-a-member-of-design-hotels
NYCTL;towneplace-suites-new-york-manhattan-chelsea
CVGDX;moxy-cincinnati-downtown
HDOCY;courtyard-ghaziabad-india
LANTC;towneplace-suites-lansing-north
PARDS;la-maison-champs-elysees-paris-a-member-of-design-hotels
SJDLS;the-residences-at-solaz-a-luxury-collection-resort-los-cabos
MFEDS;verta-hotel-mcallen
UIODS;carlota-a-member-of-design-hotels
CHIAC;ac-hotel-chicago-downtown
LRDSH;springhill-suites-laredo
CUUFP;four-points-distrito-uno-chihuahua
VPSWF;fairfield-inn-and-suites-fort-walton-beach-hurlburt-area
MAMXM;city-express-matamoros
SJOFP;four-points-san-jose-costa-rica
LASPR;springhill-suites-las-vegas-convention-center
TPECD;courtyard-taipei-downtown
KMQKU;four-points-flex-kanazawa
CJSCY;courtyard-ciudad-juarez
BKISI;sheraton-kota-kinabalu
PAROL;moxy-paris-val-deurope
VBSBR;ac-hotel-brescia
HKTMB;phuket-marriott-resort-and-spa-merlin-beach
LWSCY;courtyard-lewiston
CAEOD;moxy-columbia-downtown
XMNAX;aloft-xiamen-xiangan
MIGFP;four-points-mianyang
MDEWT;wake-biohotel-a-member-of-design-hotels
MEXIS;sheraton-mexico-city-maria-isabel-hotel
BOMAW;moxy-mumbai-andheri-west
VSAXP;city-express-paraiso
BJXXS;city-express-salamanca
DATFP;four-points-datong-pingcheng
ALBCS;ac-hotel-saratoga-springs
BOICT;towneplace-suites-caldwell
JKTKJ;aloft-jakarta-kebon-jeruk
MTYPG;city-express-plus-monterrey-galerias
BKKFO;four-points-bangkok-sukhumvit-22
FRARI;residence-inn-frankfurt-city-center
FAOAA;the-westin-salgados-beach-resort-algarve
MCOLY;courtyard-orlando-lake-buena-vista-in-the-marriott-village
URCFB;fairfield-urumqi-beijing-road
MIAES;sheraton-miami-airport-hotel-and-executive-meeting-center
CUNPY;courtyard-playa-del-carmen-quintana-roo
OSAKS;courtyard-kyoto-shijo-karasuma
BHXBM;billesley-manor-hotel-and-spa-a-tribute-portfolio-hotel
DPSCL;courtyard-nusa-lembongan-bali-resort
CWLSD;delta-hotels-swansea
PTYMD;le-meridien-panama
SDQJW;jw-marriott-hotel-santo-domingo
PARCC;courtyard-paris-creteil
FLLWH;w-fort-lauderdale
CHQTT;the-tanneries-hotel-and-spa-a-member-of-design-hotels
NGSMC;nagasaki-marriott-hotel
BOBWI;the-westin-bora-bora-resort-and-spa
GGGRI;residence-inn-longview
TLVTX;gymnasia-isrotel-a-tribute-portfolio-hotel
SJOAR;ac-hotel-san-jose-escazu
KCHSI;sheraton-kuching-hotel
DALCL;marriott-dallas-las-colinas
PYXNP;courtyard-north-pattaya
BNARM;residence-inn-nashville-metro-center
WASAD;ac-hotel-washington-dc-downtown
YULAK;humaniti-hotel-montreal-autograph-collection
LCAAN;amyth-of-nicosia-a-member-of-design-hotels
SANDT;marriott-marquis-san-diego-marina
TAOCF;fairfield-qingdao-west-coast
CKGYF;fairfield-chongqing-yubei
HOUFG;fairfield-inn-and-suites-galveston
ROMCA;ac-hotel-clodio-roma
GGGTS;towneplace-suites-longview
AMSRA;renaissance-amsterdam-schiphol-airport-hotel
YIWHF;fairfield-hengdian
HOUBS;courtyard-houston-west-university
DENFH;springhill-suites-fort-collins
AQAOM;test-westin-hotel-two-for-alpha
BRICP;cala-ponte-a-tribute-portfolio-hotel
SSHBR;renaissance-sharm-el-sheikh-golden-view-beach-resort
LOPSL;somewhere-lombok-a-member-of-design-hotels
BOGAK;the-artisan-dc-hotel-autograph-collection
WASDC;residence-inn-washington-dc-downtown
HOUWM;houston-marriott-westchase
VIEAT;vienna-marriott-hotel
RMIAS;lyra-hotel-rimini-fiera-series
RIZCY;courtyard-rizhao
ISTAC;ac-hotel-istanbul-macka
MIAEM;element-miami-doral
MRSAR;ac-hotel-marseille-prado-velodrome
WUXSF;fairfield-suzhou-xiangcheng
AUSMD;austin-marriott-downtown
DPSJL;karv-a-luxury-collection-resort-and-spa-jimbaran-bali
NYCMH;courtyard-new-york-manhattan-upper-east-side
TYOMH;hotel-the-mitsui-hakone-a-luxury-collection-hotel-and-spa
YYTSI;sheraton-hotel-newfoundland
DXBMD;le-meridien-dubai-hotel-and-conference-centre
DTWTO;towneplace-suites-detroit-taylor
KLXLC;the-romanos-a-luxury-collection-resort-costa-navarino
BJSXF;fairfield-xiongan
WASZG;citizenm-washington-dc-georgetown
SQDFI;fairfield-shangrao-xinzhou
MANMP;manchester-marriott-hotel-piccadilly
FLLMM;courtyard-fort-lauderdale-sw-miramar
FLLLD;fairfield-inn-and-suites-fort-lauderdale-downtown-las-olas
CZXQL;the-quchaninner-liyang-autograph-collection
MLEWH;w-maldives
RTMCM;citizenm-rotterdam
YYZVP;four-points-oakville
JAXSC;ac-hotel-st-augustine-downtown
WASYV;courtyard-washington-downtown-convention-center
LPABS;bohemia-suites-and-spa-a-member-of-design-hotels
MRUMD;le-meridien-ile-maurice
PRGPZ;courtyard-pilsen
CTUFF;fairfield-chengdu-fenghuangshan-sports-park
PUJXR;the-st-regis-cap-cana-resort
TVCFT;fairfield-inn-and-suites-traverse-city
PARDF;citizenm-paris-la-defense
FUOJP;four-points-jiangmen-downtown
MLEJS;jw-marriott-maldives-resort-and-spa
